OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
90;"Tram";"9 | 14";"09|14";3;"POINT(4.905697,52.36782)";"4,905697";"52,36782";
91;"Tram";"9";"09";3;"POINT(4.923979,52.361917)";"4,923979";"52,361917";
92;"Tram";"3 | 7 | 9";"03|07|09";3;"POINT(4.925294,52.360016)";"4,925294";"52,360016";
93;"Tram";"7 | 14";"07|14";3;"POINT(4.947751,52.364871)";"4,947751";"52,364871";
94;"Tram";"13";"13";3;"POINT(4.838104,52.371486)";"4,838104";"52,371486";
95;"Tram";"7 | 14";"07|14";3;"POINT(4.845747,52.377875)";"4,845747";"52,377875";
96;"Tram";"7 | 14";"07|14";3;"POINT(4.943722,52.362211)";"4,943722";"52,362211";
97;"Tram";"7 | 14";"07|14";3;"POINT(4.940093,52.361695)";"4,940093";"52,361695";
98;"Tram";"9";"09";3;"POINT(4.930962,52.353487)";"4,930962";"52,353487";
99;"Tram";"9";"09";3;"POINT(4.935163,52.350857)";"4,935163";"52,350857";
100;"Tram";"14";"14";3;"POINT(4.927671,52.365923)";"4,927671";"52,365923";
101;"Tram";"14";"14";3;"POINT(4.932675,52.36581)";"4,932675";"52,36581";
102;"Tram";"14";"14";3;"POINT(4.937666,52.364325)";"4,937666";"52,364325";
103;"Tram";"4 | 9 | 24";"04|09|24";3;"POINT(4.89405,52.373814)";"4,89405";"52,373814";
104;"Tram";"4 | 9 | 14 | 24";"04|09|14|24";3;"POINT(4.892231,52.36966)";"4,892231";"52,36966";
105;"Tram";"24";"24";3;"POINT(4.893214,52.366486)";"4,893214";"52,366486";
106;"Tram";"24";"24";3;"POINT(4.8907,52.35707)";"4,8907";"52,35707";
107;"Tram";"24";"24";3;"POINT(4.857696,52.341124)";"4,857696";"52,341124";
108;"Tram";"3 | 5 | 12";"03|05|12";3;"POINT(4.879724,52.356545)";"4,879724";"52,356545";
109;"Tram";"17";"17";3;"POINT(4.78691,52.355546)";"4,78691";"52,355546";
110;"Tram";"17";"17";3;"POINT(4.791583,52.35649)";"4,791583";"52,35649";
111;"Tram";"17";"17";3;"POINT(4.799094,52.358002)";"4,799094";"52,358002";
112;"Tram";"17";"17";3;"POINT(4.803202,52.359416)";"4,803202";"52,359416";
113;"Tram";"17";"17";3;"POINT(4.807556,52.35962)";"4,807556";"52,35962";
